VALUE,FREQ,COUNTRY,ID,UNIT_MULT,BASE_YEAR,TIME_FORMAT,PERIOD,DESCRIPTION.XML_LANG,DESCRIPTION
76296.984781417,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2008-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
75801.699421323,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2008-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
74091.191814519,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2008-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72770.844720068,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2009-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72196.496473299,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2009-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72472.258672612,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2009-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72951.194540594,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2009-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
72620.870925887,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2010-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
73562.589052745,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2010-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
74264.218615577,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2010-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
75122.712512792,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2010-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
75721.13683364,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2011-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
76030.024158856,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2011-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
76412.219478085,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2011-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
76385.248510951,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2011-10-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
77039.417303759,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2012-01-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
76710.713705354,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2012-04-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
76536.483101182,Q,AT,NGDP_R_SA_XDC,6,2010,P3M,2012-07-01,en,"Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency"
