ID,DESCRIPTION.XML_LANG,DESCRIPTION
TXG_FOB_PC_PP_PT,en,"External Trade, Goods, Value of Exports, Free on Board (FOB), Percentage change, previous period, Percent"
TXG_FOB_USD,en,"External Trade, Goods, Value of Exports, Free on Board (FOB), US Dollars"
TMG_CIF_XDC,en,"External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Domestic Currency"
TMG_CIF_PC_CP_A_PT,en,"External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent"
TMG_CIF_PC_PP_PT,en,"External Trade, Goods, Value of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent"
TMG_CIF_USD,en,"External Trade, Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars"
TMG_FOB_XDC,en,"External Trade, Goods, Value of Imports, Free on Board (FOB), Domestic Currency"
TMG_FOB_PC_CP_A_PT,en,"External Trade, Goods, Value of Imports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent"
TMG_FOB_PC_PP_PT,en,"External Trade, Goods, Value of Imports, Free on Board (FOB), Percentage change, previous period, Percent"
TMG_FOB_USD,en,"External Trade, Goods, Value of Imports, Free on Board (FOB), US Dollars"
TXG_R_FOB_IX,en,"External Trade, Goods, Volume of Exports, Free on Board (FOB), Index"
TXG_R_FOB_PC_CP_A_PT,en,"External Trade, Goods, Volume of Exports, Free on Board (FOB), Percentage change, corresponding period previous year, Percent"
TXG_R_FOB_PC_PP_PT,en,"External Trade, Goods, Volume of Exports, Free on Board (FOB), Percentage change, previous period, Percent"
TMG_R_CIF_IX,en,"External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Index"
TMG_R_CIF_PC_CP_A_PT,en,"External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Percentage change, corresponding period previous year, Percent"
TMG_R_CIF_PC_PP_PT,en,"External Trade, Goods, Volume of Imports, Cost Insurance Freight (CIF), Percentage change, previous period, Percent"
NC_XDC,en,"Final Consumption Expenditure, Nominal, Domestic Currency"
NC_SA_XDC,en,"Final Consumption Expenditure, Nominal, Seasonally Adjusted, Domestic Currency"
NC_NSA_XDC,en,"Final Consumption Expenditure, Nominal, Unadjusted, Domestic Currency"
NC_R_XDC,en,"Final Consumption Expenditure, Real, Domestic Currency"
NC_R_SA_XDC,en,"Final Consumption Expenditure, Real, Seasonally Adjusted, Domestic Currency"
NC_R_NSA_XDC,en,"Final Consumption Expenditure, Real, Unadjusted, Domestic Currency"
BFFA_BP6_USD,en,"Balance of Payments, Financial account, Financial derivatives (other than reserves) and employee stock options, Net acquisition of financial assets, US Dollars"
BFFL_BP6_USD,en,"Balance of Payments, Financial account, Financial derivatives (other than reserves) and employee stock options, Net incurrence of liabilities, US Dollars"
BFF_BP6_USD,en,"Balance of Payments, Financial account, Financial derivatives (other than reserves) and employee stock options, US Dollars"
BFDAD_BP6_USD,en,"Balance of Payments, Financial account, Net lending (+) / net borrowing (-) (balance from financial account), Direct investment, Net acquisition of financial assets, Debt instruments, US Dollars"
BFDAE_BP6_USD,en,"Balance of Payments, Financial account, Net lending (+) / net borrowing (-) (balance from financial account), Direct investment, Net acquisition of financial assets, Equity and investment fund shares, US Dollars"
BFDA_BP6_USD,en,"Balance of Payments, Financial account, Net lending (+) / net borrowing (-) (balance from financial account), Direct investment, Net acquisition of financial assets, US Dollars"
BFOA_BP6_USD,en,"Balance of Payments, Financial account, Other investment, Net acquisition of financial assets, US Dollars"
BFOAD_BP6_USD,en,"Balance of Payments, Financial account, Other investment, Other equity, Net acquisition of financial assets, Debt instruments, US Dollars"
BFOAE_BP6_USD,en,"Balance of Payments, Financial account, Other investment, Other equity, Net acquisition of financial assets, US Dollars"
BFPAD_BP6_USD,en,"Balance of Payments, Financial account, Portfolio investment, Net acquisition of financial assets, Debt securities, US Dollars"
BFPAE_BP6_USD,en,"Balance of Payments, Financial account, Portfolio investment, Net acquisition of financial assets, Equity and investment fund shares, US Dollars"
BFPA_BP6_USD,en,"Balance of Payments, Financial account, Portfolio investment, Net acquisition of financial assets, US Dollars"
FPECS_IX,en,"Financial Market Prices, Equities, Consumer Staples, Index"
FPE_EOP_IX,en,"Financial Market Prices, Equities, End of Period, Index"
FPEF_EOP_IX,en,"Financial Market Prices, Equities, Financials, End of Period, Index"
FPEFR_EOP_IX,en,"Financial Market Prices, Equities, Forestry, End of Period, Index"
FPEFR_IX,en,"Financial Market Prices, Equities, Forestry, Index"
FPE_IX,en,"Financial Market Prices, Equities, Index"
FPEI_EOP_IX,en,"Financial Market Prices, Equities, Industrials, End of Period, Index"
FPEI_IX,en,"Financial Market Prices, Equities, Industrials, Index"
FPEMF_IX,en,"Financial Market Prices, Equities, Manufacturing, Index"
FPEMN_IX,en,"Financial Market Prices, Equities, Mining, Index"
FPEPAMEX_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, American Exchange, Index"
FPEPIGPA_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Chile IGPA, Index Number"
FPEPFIRS_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Investment Funds Index of Republika Srpska, Index Number"
FPEPSEM7_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Mauritius SEM-7, Index Number"
FPEPNAS_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, NASDAQ, Index"
FPEPWIG20_EOP_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Poland Warsaw Stock Exchange WIG-20, End of Price, Index"
FPEPWIG20_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Poland Warsaw Stock Exchange WIG-20, Index"
FPEPRTS_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Russia RTS Exchange, Index"
FPEPSP_IX,en,"Financial Market Prices, Equities, Primary Market Instruments, Standard and Poor's, Index"
FPESP_EOP_IX,en,"Financial Market Prices, Equities, Shipping, End of Period, Index"
FPESP_IX,en,"Financial Market Prices, Equities, Shipping, Index"
FIGBY_PA,en,"Financial, Interest Rates Government Bond Yield, Per Cent Per Annum"
FII_3M_PA,en,"Financial, Interest Rates, 3-Month Interbank Interest, Percent per annum"
FIACF_PA,en,"Financial, Interest Rates, Average Cost of Funds, Percent per Annum"
FIBFR_PA,en,"Financial, Interest Rates, Central Bank Borrowing Facility Rate"
FICB_PA,en,"Financial, Interest Rates, Central Bank Certificates"
FICD_PA,en,"Financial, Interest Rates, Certificates of Deposit, Percent per annum"
FICPR_PA,en,"Financial, Interest Rates, Corporate Paper Rate"
FIDR_FX_EUR_PA,en,"Financial, Interest Rates, Deposit Rate, Foreign Currency, Euro, Percent per Annum"
FIDR_FX_USD_PA,en,"Financial, Interest Rates, Deposit Rate, Foreign Currency, US Dollar, Percent per Annum"
FIDR_FX_PA,en,"Financial, Interest Rates, Deposit, Foreign Currency, Percent per Annum"
FIDR_ON_PA,en,"Financial, Interest Rates, Deposit, Overnight"
FIDR_PA,en,"Financial, Interest Rates, Deposit, Percent per annum"
FID_FX_PA,en,"Financial, Interest Rates, Discount, Foreign Currency"
FID_PA,en,"Financial, Interest Rates, Discount, Percent per annum"
FIDFR_PA,en,"Financial, Interest Rates, Eurosystem Deposit Facility Rate"
FIGBY_MT_PA,en,"Financial, Interest Rates, Government Bond Yields, Medium Term, Percent per annum"
FIGBY_SM_PA,en,"Financial, Interest Rates, Government Bond Yields, Short- to Medium-Term, Percent per Annum"
FIGB_MLT_PA,en,"Financial, Interest Rates, Government Securities, Government Bonds, Medium- to Long-term, Percent per annum"
FIGB_PA,en,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
FIGB_S_PA,en,"Financial, Interest Rates, Government Securities, Government Bonds, Short-term, Percent per annum"
FITB_3M_PA,en,"Financial, Interest Rates, Government Securities, Treasury Bills, 3-month, Percent per annum"
FITBBE_PA,en,"Financial, Interest Rates, Government Securities, Treasury Bills, Bond Equivalent, Percent per Annum"
FITB_FX_PA,en,"Financial, Interest Rates, Government Securities, Treasury Bills, Foreign Currency, Percent per Annum"
FITB_IX,en,"Financial, Interest Rates, Government Securities, Treasury Bills, Index"
FITB_L_PA,en,"Financial, Interest Rates, Government Securities, Treasury Bills, Long-Term, Percent per Annum"
FITB_PA,en,"Financial, Interest Rates, Government Securities, Treasury Bills, Percent per annum"
FIH_HH_L_CC_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Households, Consumer Credit and Other, Up to 1 Year, Percent per annum"
FIH_HH_L_HP_O5Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Households, House Purchase, Over 5 Years, Percent per annum"
FIH_NFC_L_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, Loans, Non-Financial Corporations, Up to 1 Year, Percent per annum"
FIHN_HH_D_AM_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Households, Agreed Maturity, Up to 1 Year, Percent per annum"
FIHN_HH_D_FX_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Households, Foreign Currency, Percent per annum"
FIHN_HH_D_NC_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Households, National Currency, Percent per annum"
FIHN_NFC_D_AM_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Non-financial Corporations, Agreed Maturity, Up to 1 Year, Percent per annum"
FIHN_NFC_D_FX_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Non-financial Corporations, Foreign Currency, Percent per annum"
FIHN_NFC_D_NC_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Deposits, Non-financial Corporations, National Currency, Percent per annum"
FIHN_HH_L_CO_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, Consumption, Floating Rate and up to 1 Year, Percent per annum"
FIHN_HH_L_FX_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, Foreign Currency, Percent per annum"
FIHN_HH_L_HP_O5Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, House Purchase, Over 5 Years, Percent per annum"
FIHN_HH_L_NC_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Households, National Currency, Percent per annum"
FIHN_NFC_L_FX_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, Foreign Currency, Percent per annum"
FIHN_NFC_L_NC_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, National Currency, Percent per annum"
FIHN_NFC_L_OT_O1MILL_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, Other Than Bank Overdrafts, Over EUR 1 Million, Floating Rate and up to 1 Year, Percent per Annum"
FIHN_NFC_L_OT_O1MILL_3M_1Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, New Business, Loans, Non-financial Corporations, Other Than Bank Overdrafts, Over EUR 1 Million, Over 3 Months and up to 1 Year, Percent per annum"
FIHO_HH_D_AM_2Y_PA,en,"Financial, Interest Rates, Harmonized Euro Area Rates, Outstanding Amounts, Deposits, Households, Agreed Maturity, Up to 2 Years, Percent per annum"
